balance,lw_rev_total,lw_rev_phase,leaderboard_position_chems_all,leaderboard_position_chems_week,leaderboard_position_police_all,leaderboard_position_police_week,mcmmo_power_level,mcmmo_skill_ACROBATICS,mcmmo_skill_ALCHEMY,mcmmo_skill_ARCHERY,mcmmo_skill_AXES,mcmmo_skill_CROSSBOWS,mcmmo_skill_EXCAVATION,mcmmo_skill_FISHING,mcmmo_skill_HERBALISM,mcmmo_skill_MACES,mcmmo_skill_MINING,mcmmo_skill_REPAIR,mcmmo_skill_SALVAGE,mcmmo_skill_SMELTING,mcmmo_skill_SWORDS,mcmmo_skill_TAMING,mcmmo_skill_TRIDENTS,mcmmo_skill_UNARMED,mcmmo_skill_WOODCUTTING,chemrank,policerank,donorrank,goldrank,current_month_votes,plan_player_time_total_raw,plan_player_time_month_raw,plan_player_time_week_raw,plan_player_time_day_raw,plan_player_time_afk_raw,plan_player_latest_session_length_raw,plan_player_favorite_server,plan_player_lastseen,plan_player_sessions_count,plan_player_relativePlaytime_totalmonth,plan_player_relativePlaytime_weekmonth,plan_player_relativePlaytime_dayweek,balance_change,lw_rev_total_change,lw_rev_phase_change,leaderboard_position_chems_all_change,leaderboard_position_chems_week_change,leaderboard_position_police_all_change,leaderboard_position_police_week_change,chemrank_change,policerank_change,donorrank_change,goldrank_change,churn
45278186.59,31957250.0,12287238.0,9.0,2.0,0.0,0.0,12876, 842, 3, 10, 27, 0, 381, 993, 8015, 72, 1187, 121, 557, 654, 1216, 0, 0, 6, 3,143.0,0.0,4.0,1.0,20.0,8062943801.0,1703511531.0,155000167.0,50178525.0,6462314482.0,9212010.0,Underworld-B,126600.0,3976.0,4.73313133153074,0.09098862213689354,0.3237320705596401,64896900.72,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3000.0,0.0,0.0,0.0,0.0,0.0,0.0,9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 4,0.0,0.0,0.0,0.0,0.0,492864.0,492864.0,492864.0,0.0,0.0,312204.0,Town,533783.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101295.33,6682.0,6682.0,866.0,0.0,0.0,0.0,142, 15, 0, 0, 0, 0, 2, 0, 24, 0, 81, 0, 0, 40, 7, 0, 0, 0, 13,3.0,0.0,0.0,0.0,0.0,15469996.0,15469996.0,0.0,0.0,0.0,90471.0,Town,1054523.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,32627.0,32627.0,32627.0,0.0,0.0,8134.0,Spawn,569243.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
672967.47,0.0,0.0,15.0,0.0,0.0,0.0,8301, 968, 88, 20, 177, 0, 218, 660, 2803, 0, 2295, 109, 384, 1202, 958, 0, 4, 1, 0,143.0,0.0,4.0,0.0,0.0,2837525100.0,0.0,0.0,0.0,1772569461.0,777637.0,Underworld-A,3730163.0,5208.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20739.91,21250.0,8882.0,494.0,0.0,0.0,0.0,706, 77, 0, 0, 2, 0, 75, 0, 152, 0, 259, 15, 7, 137, 58, 0, 0, 1, 67,4.0,0.0,2.0,0.0,0.0,227035261.0,211176908.0,0.0,0.0,91729278.0,461943.0,Town,1709183.0,120.0,1.0750951093573167,0.0,0.0,3816.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,2074060.0,2074060.0,0.0,0.0,191282.0,2459.0,Spawn,1136543.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,84294.0,0.0,0.0,0.0,0.0,6678.0,Spawn,4454843.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14621.0,14621.0,14621.0,0.0,0.0,14621.0,Spawn,229560.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
